id,name,group,group_gamecount,group_game_win,group_game_draw,group_game_lose,group_game_goal_diff,score,rank,is_top_16,is_top_8,is_top_4,create_time,update_time
1,俄罗斯,A,0,,,,,0,,,,,2018/3/9 13:59:12,2018/3/9 13:59:12
2,沙特阿拉伯,A,0,,,,,0,,,,,2018/3/9 09:54:02,2018/3/9 09:54:02
3,埃及,A,0,,,,,0,,,,,2018/3/7 10:42:31,2018/3/7 10:42:33
4,乌拉圭,A,0,,,,,0,,,,,2018/3/7 10:42:36,2018/3/7 10:42:39
5,葡萄牙,B,0,,,,,0,,,,,2018/3/7 10:42:05,2018/3/7 10:42:05
6,西班牙,B,0,,,,,0,,,,,2018/3/7 10:42:06,2018/3/7 10:42:06
7,伊朗,B,0,,,,,0,,,,,2018/3/9 13:41:52,2018/3/9 13:41:52
8,摩洛哥,B,0,,,,,0,,,,,2018/3/9 13:41:49,2018/3/9 13:41:49
9,丹麦,C,0,,,,,0,,,,,2018/3/9 13:42:20,2018/3/9 13:42:20
10,法国,C,0,,,,,0,,,,,2018/3/9 13:42:34,2018/3/9 13:42:34
11,秘鲁,C,0,,,,,0,,,,,2018/3/7 10:42:13,2018/3/7 10:42:13
12,澳大利亚,C,0,,,,,0,,,,,2018/3/9 13:42:32,2018/3/9 13:42:32
13,冰岛,D,0,,,,,0,,,,,2018/3/9 13:43:16,2018/3/9 13:43:16
14,阿根廷,D,0,,,,,0,,,,,2018/3/9 13:43:12,2018/3/9 13:43:12
15,克罗地亚,D,0,,,,,0,,,,,2018/3/7 10:42:16,2018/3/7 10:42:16
16,尼日利亚,D,0,,,,,0,,,,,2018/3/7 10:42:17,2018/3/7 10:42:17
17,塞尔维亚,E,0,,,,,0,,,,,2018/3/9 13:44:21,2018/3/9 13:44:21
18,瑞士,E,0,,,,,0,,,,,2018/3/7 10:42:19,2018/3/7 10:42:19
19,巴西,E,0,,,,,0,,,,,2018/3/9 13:44:07,2018/3/9 13:44:07
20,哥斯达黎加,E,0,,,,,0,,,,,2018/3/9 13:44:05,2018/3/9 13:44:05
21,瑞典,F,0,,,,,0,,,,,2018/3/9 13:45:23,2018/3/9 13:45:23
22,德国,F,0,,,,,0,,,,,2018/3/9 13:45:27,2018/3/9 13:45:27
23,墨西哥,F,0,,,,,0,,,,,2018/3/9 13:45:21,2018/3/9 13:45:21
24,韩国,F,0,,,,,0,,,,,2018/3/7 10:42:24,2018/3/7 10:42:24
25,比利时,G,0,,,,,0,,,,,2018/3/7 10:42:25,2018/3/7 10:42:25
26,英格兰,G,0,,,,,0,,,,,2018/3/9 13:46:18,2018/3/9 13:46:18
27,巴拿马,G,0,,,,,0,,,,,2018/3/9 13:46:14,2018/3/9 13:46:14
28,突尼斯,G,0,,,,,0,,,,,2018/3/9 13:46:12,2018/3/9 13:46:12
29,波兰,H,0,,,,,0,,,,,2018/3/7 10:42:28,2018/3/7 10:42:28
30,哥伦比亚,H,0,,,,,0,,,,,2018/3/9 13:46:42,2018/3/9 13:46:42
31,塞内加尔,H,0,,,,,0,,,,,2018/3/9 13:46:38,2018/3/9 13:46:38
32,日本,H,0,,,,,0,,,,,2018/3/7 10:42:31,2018/3/7 10:42:31
